key	active_time	recharge_time	num_uses	effect_range	affect_self	num_effected_friendly_units	num_effected_enemy_units	update_targets_every_frame	initial_recharge	activated_projectile	target_friends	target_enemies	target_ground	target_intercept_range	always_affect_self	only_affect_target	wind_up_time	passive	unique_id	bombardment	spawned_unit	wind_up_stance	mana_cost	min_range	targetting_aoe	passive_aoe	active_aoe	activation_effect	vortex	miscast_chance	miscast_explosion	ai_usage	audio	special_ability_display	voiceover_state	additional_melee_cp	additional_missile_cp	parent_ability	spawn_type	spawn_proxy_vfx	target_ground_under_allies	target_ground_under_enemies	miscast_global_bonus	target_self	composite_scene_group_on_wind_up	composite_scene_group_on_active	wind_down_stance	use_loop_stance	update_phase_by_ability_duration	spawn_is_transformation	spawn_is_decoy	only_affect_owned_units	formation	behaviour	current_mana_moves_to_reserve	spawn_shares_health_and_fatigue	affect_siege_equipment	shared_recharge_time	intensity_based_activation	autoresolver_usage	autoresolver_targets	display_stops_when_display_expires	autoresolve_cp_multiplier	ability_available_ui_event	can_be_copied_to_transformation_unit	audio_switch_casting_override	audio_switch_override	ai_usage_template_group
wh_main_spell_nagash_grave_call_secondary_hidden_01	1.0000	90.0000	1	0.0000	false	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	465884127		wh_main_vmp_inf_zombie_summoned		0.0000	0.0000	wh_abilities_generic_buff_no_ring		wh2_main_unit_passive_the_rats_emerge			0.0000		threatened	wh_main_spell_vampires_raise_dead		vo_battle_special_ability_raise_dead	1.0000	1.0000		unit_position_offset		false	false	true	true				false	false	false	false	true			false	false	true	-1.0000	false	default	1	false	0.0000		true			
wh_main_spell_nagash_grave_call_secondary_hidden_02	1.0000	90.0000	1	0.0000	false	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	465884128		wh_main_vmp_inf_zombie_summoned		0.0000	0.0000	wh_abilities_generic_buff_no_ring		wh2_main_unit_passive_the_rats_emerge			0.0000	wh_main_death_miscast	threatened	wh_main_spell_vampires_raise_dead		vo_battle_special_ability_raise_dead	1.0000	1.0000		unit_position_offset		false	false	true	true				false	false	false	false	true			false	false	true	-1.0000	false	default	1	false	0.0000		true			
wh_main_spell_nagash_soul_stealer	18.0000	52.0000	-1	30.0000	true	-1	0	true	0.0000		false	false	true	200.0000	false	false	1.0000	false	465884129			cast_forward_short	12.0000	0.0000	wh_abilities_generic_regeneration	wh_abilities_generic_regeneration			wh_main_spell_nagash_soul_stealer	0.0000		healing_area	wh_main_spell_vampires_invocation_of_nehek_upgraded	vampires_short	vo_battle_special_ability_spell_cast_positive	40.0000	40.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
wh_main_spell_nagash_become_construct	3.0000	-1.0000	1	0.0000	true	1	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	465884130				0.0000	0.0000						0.0000					vo_battle_special_ability_generic_response	1.0000	1.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
wh_main_spell_nagash_grave_call_master	1.0000	90.0000	2	0.0000	false	1	0	false	0.0000		true	false	true	60.0000	false	false	3.0000	false	465884131		nag_inf_crypt_ghouls_construct	cast_up_medium	13.0000	0.0000	wh_abilities_generic_spawn	wh_abilities_generic_spawn				0.0000		threatened	wh_main_spell_vampires_raise_dead	dark_magic_medium	vo_battle_special_ability_raise_dead	161.0000	161.0000			wh_main_targeting_pre_spawn_group_ui_central	false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
wh_main_spell_nagash_grave_call_master_upgraded	1.0000	90.0000	2	0.0000	false	1	0	false	0.0000		true	false	true	60.0000	false	false	3.0000	false	465884132		nag_mon_crypt_horrors_construct	cast_up_medium	20.0000	0.0000	wh_abilities_generic_spawn	wh_abilities_generic_spawn				0.5000	wh_main_death_miscast	threatened	wh_main_spell_vampires_raise_dead	dark_magic_medium	vo_battle_special_ability_raise_dead	161.0000	161.0000			wh_main_targeting_pre_spawn_group_ui_central	false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
wh_main_spell_nagash_abyssal_swarm	10.0000	50.0000	-1	0.0000	false	0	0	false	0.0000		false	true	true	150.0000	false	false	3.0000	false	465884133			cast_up_long	9.0000	20.0000	wh_abilities_generic_breath	wh_abilities_generic_breath			wh_main_spell_nagash_abyssal_swarm	0.0000		vortex_wind	wh2_main_spell_ruin_cracks_call	dark_magic_long	vo_battle_special_ability_spell_cast_negative	0.0000	180.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
wh_main_spell_nagash_abyssal_swarm_upgrade	30.0000	50.0000	-1	40.0000	false	0	-1	true	0.0000		false	true	false	150.0000	false	false	3.0000	false	465884134			cast_up_long	11.0000	20.0000	wh_abilities_generic_vortex	wh_abilities_generic_vortex			wh_main_spell_nagash_abyssal_swarm_upgrade	0.0000		vortex_flying_only	wh2_main_spell_ruin_cracks_call_upgraded	dark_magic_long	vo_battle_special_ability_spell_cast_negative	0.0000	180.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
wh_main_spell_nagash_floating_vandus_catus	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	70.0000	false	false	0.0000	true	465884136				0.0000	0.0000	wh_abilities_generic_debuff_no_ring					0.0000		hex_melee	wh_group_lord_ability		vo_battle_special_ability_generic_response	1.0000	1.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_double_spell_vampires_curse_of_years	32.0000	47.0000	-1	40.0000	false	0	-1	true	0.0000		false	true	true	400.0000	false	false	5.0000	false	465884137			cast_up_long	11.0000	0.0000	wh_abilities_generic_debuff	wh_abilities_generic_debuff	wh_abilities_generic_debuff			0.0000		hex_melee_area	wh_main_spell_vampires_curse_of_years	vampires_long	vo_battle_special_ability_spell_cast_negative	120.0000	80.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_double_spell_vampires_gaze_of_nagash	-1.0000	44.0000	-1	0.0000	false	0	0	false	0.0000	nag_double_spell_vampires_gaze_of_nagash	false	true	false	500.0000	false	false	3.0000	false	465884138			cast_forward_medium	7.0000	0.0000	wh_spell_generic_missiles	wh_spell_generic_missiles				0.0000		projectile_explosive_ap	wh_main_spell_vampires_gaze_of_nagash	vampires_medium	vo_battle_special_ability_spell_cast_negative	0.0000	165.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_double_spell_vampires_gaze_of_nagash_upgraded	-1.0000	44.0000	-1	0.0000	false	0	0	false	0.0000	nag_double_spell_vampires_gaze_of_nagash_upgraded	false	true	false	500.0000	false	false	3.0000	false	465884139			cast_forward_medium	14.0000	0.0000	wh_spell_generic_missiles	wh_spell_generic_missiles				0.5000	wh_main_death_miscast	projectile_explosive_ap	wh_main_spell_vampires_gaze_of_nagash_upgraded	vampires_medium	vo_battle_special_ability_spell_cast_negative	0.0000	165.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_double_spell_vampires_invocation_of_nehek	18.0000	30.0000	-1	0.0000	true	1	0	false	0.0000		true	false	false	400.0000	false	false	1.0000	false	465884140			cast_up_short	6.0000	0.0000	wh_abilities_generic_regeneration_no_ring	wh_abilities_generic_regeneration_no_ring				0.0000		healing	wh_main_spell_vampires_invocation_of_nehek	vampires_short	vo_battle_special_ability_spell_cast_positive	35.0000	71.0000				false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_double_spell_vampires_invocation_of_nehek_upgraded	18.0000	30.0000	-1	30.0000	true	4	0	false	0.0000		true	false	true	400.0000	false	false	1.0000	false	465884141			cast_up_short	12.0000	0.0000	wh_abilities_generic_regeneration	wh_abilities_generic_regeneration				0.5000	wh_main_death_miscast	healing_area	wh_main_spell_vampires_invocation_of_nehek_upgraded	vampires_short	vo_battle_special_ability_spell_cast_positive	35.0000	71.0000				false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_double_spell_vampires_raise_dead	1.0000	39.0000	7	0.0000	false	1	0	false	0.0000		true	false	true	120.0000	false	false	3.0000	false	465884142		wh_main_vmp_inf_zombie_summoned	cast_up_medium	4.0000	0.0000	wh_abilities_generic_spawn	wh_abilities_generic_spawn				0.0000		threatened	wh_main_spell_vampires_raise_dead	vampires_medium	vo_battle_special_ability_raise_dead	80.0000	80.0000			wh_main_targeting_pre_spawn_group_ui_central	false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_double_spell_vampires_raise_dead_upgraded	1.0000	39.0000	7	0.0000	false	1	0	false	0.0000		true	false	true	120.0000	false	false	3.0000	false	465884143		wh_main_vmp_inf_skeleton_warriors_0_summoned	cast_up_medium	6.0000	0.0000	wh_abilities_generic_spawn	wh_abilities_generic_spawn				0.5000	wh_main_death_miscast	threatened	wh_main_spell_vampires_raise_dead_upgraded	vampires_medium	vo_battle_special_ability_raise_dead	80.0000	80.0000			wh_main_targeting_pre_spawn_group_ui_central	false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_double_spell_vampires_vanhels_danse_macabre	29.0000	28.0000	-1	0.0000	true	1	0	false	0.0000		true	false	false	400.0000	false	false	1.0000	false	465884144			cast_up_short	4.0000	0.0000	wh_abilities_generic_buff_no_ring	wh_abilities_generic_buff_no_ring				0.0000		augment_melee	wh_main_spell_vampires_vanhels_danse_macabre	vampires_short	vo_battle_special_ability_spell_cast_positive	53.0000	53.0000				false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_double_spell_vampires_vanhels_danse_macabre_upgraded	29.0000	28.0000	-1	40.0000	true	-1	0	false	0.0000		true	false	false	400.0000	false	false	1.0000	false	465884145			cast_up_short	8.0000	0.0000	wh_abilities_generic_buff	wh_abilities_generic_buff				0.5000	wh_main_death_miscast	augment_melee_area	wh_main_spell_vampires_vanhels_danse_macabre_upgraded	vampires_short	vo_battle_special_ability_spell_cast_positive	53.0000	53.0000				false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_double_spell_vampires_wind_of_death	5.0000	44.0000	-1	0.0000	false	0	0	false	0.0000		false	true	true	300.0000	false	false	5.0000	false	465884146			cast_up_long	20.0000	0.0000	wh_abilities_generic_wind	wh_abilities_generic_wind			wh_main_spell_vampires_wind_of_death	0.0000		vortex_wind	wh_main_spell_vampires_wind_of_death	vampires_long	vo_battle_special_ability_spell_cast_negative	0.0000	220.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_double_spell_vampires_wind_of_death_upgraded	5.0000	44.0000	-1	0.0000	false	0	0	false	0.0000		false	true	true	300.0000	false	false	5.0000	false	465884147			cast_up_long	27.0000	0.0000	wh_abilities_generic_wind	wh_abilities_generic_wind			wh_main_spell_vampires_wind_of_death_upgraded	0.5000	wh_main_death_miscast	vortex_wind	wh_main_spell_vampires_wind_of_death_upgraded	vampires_long	vo_battle_special_ability_spell_cast_negative	0.0000	220.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_army_abilities_batocalypse	100.0000	-1.0000	1	-1.0000	false	0	-1	true	40.0000		false	false	true	-1.0000	false	false	0.0000	false	465884148				0.0000	0.0000	wh_spell_generic_bombardment	wh_spell_generic_bombardment	belisarians_nagash_batocalypse			0.0000		augment_melee_area	wh_main_spell_fire_flame_storm_upgraded	fire_medium	vo_battle_special_ability_spell_cast_positive	79.0000	79.0000				false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_army_abilities_endless_tomb	1.0000	-1.0000	1	0.0000	false	1	0	false	1.0000		true	false	true	-1.0000	false	false	3.0000	false	465884149		nag_endless_tomb	cast_up_medium	0.0000	0.0000	wh_abilities_generic_spawn	wh_abilities_generic_spawn				0.0000		artillery_opportunity	wh_main_spell_vampires_raise_dead	vampires_medium	vo_battle_special_ability_raise_dead	1.0000	1.0000			wh_main_targeting_pre_spawn_group_ui_central	false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_army_abilities_endless_tomb_hidden_dummy	1.0000	1.0000	40	0.0000	false	1	0	false	0.0000		true	false	true	-1.0000	false	false	3.0000	false	465884150		nag_inf_skeleton_warriors_endless_tomb_summoned	cast_up_medium	0.0000	0.0000	wh_abilities_generic_spawn	wh_abilities_generic_spawn				0.0000			wh_main_spell_vampires_raise_dead	vampires_medium	vo_battle_special_ability_raise_dead	1.0000	1.0000			wh_main_targeting_pre_spawn_group_ui_central	false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_army_abilities_endless_tomb_hidden_raise_dead	1.0000	120.0000	40	0.0000	true	0	0	false	20.0000		false	false	false	0.0000	false	false	0.0000	true	465884151		nag_inf_skeleton_warriors_endless_tomb_summoned		0.0000	0.0000	wh_abilities_generic_spawn					0.0000			wh_main_spell_vampires_raise_dead		vo_battle_special_ability_raise_dead	1.0000	1.0000		unit_position		false	false	true	true				false	false	false	false	true			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_endless_tomb_visuals	-1.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	70.0000	false	false	0.0000	true	465884152				0.0000	0.0000	wh_abilities_generic_debuff_no_ring					0.0000			wh_group_lord_ability		vo_battle_special_ability_generic_response	1.0000	1.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_army_abilities_blyramid_bombardment_00	2.0000	0.0000	1	0.0000	false	0	1	false	0.0000		false	true	true	-1.0000	false	false	0.0000	false	465884153	nag_army_abilities_blyramid_bombardment_00		cast_up_short	0.0000	0.0000					nag_army_abilities_blyramid_bombardment_00	0.0000			wh_dlc03_spell_wild_viletide	wild_short	vo_battle_special_ability_spell_cast_negative	0.0000	81.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_army_abilities_blyramid_bombardment_01	2.0000	0.0000	1	0.0000	false	0	1	false	0.0000		false	true	true	-1.0000	false	false	0.0000	false	465884154	nag_army_abilities_blyramid_bombardment_01		cast_up_short	0.0000	0.0000					nag_army_abilities_blyramid_bombardment_01	0.0000			wh_dlc03_spell_wild_viletide	wild_short	vo_battle_special_ability_spell_cast_negative	0.0000	81.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_army_abilities_blyramid_bombardment_02	2.0000	0.0000	1	0.0000	false	0	1	false	0.0000		false	true	true	-1.0000	false	false	0.0000	false	465884155	nag_army_abilities_blyramid_bombardment_02		cast_up_short	0.0000	0.0000					nag_army_abilities_blyramid_bombardment_02	0.0000			wh_dlc03_spell_wild_viletide	wild_short	vo_battle_special_ability_spell_cast_negative	0.0000	81.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_army_abilities_blyramid_bombardment_03	2.0000	0.0000	1	0.0000	false	0	1	false	0.0000		false	true	true	-1.0000	false	false	0.0000	false	465884156	nag_army_abilities_blyramid_bombardment_03		cast_up_short	0.0000	0.0000					nag_army_abilities_blyramid_bombardment_03	0.0000			wh_dlc03_spell_wild_viletide	wild_short	vo_battle_special_ability_spell_cast_negative	0.0000	81.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_army_abilities_blyramid_bombardment_04	2.0000	0.0000	1	0.0000	false	0	1	false	0.0000		false	true	true	-1.0000	false	false	0.0000	false	465884157	nag_army_abilities_blyramid_bombardment_04		cast_up_short	0.0000	0.0000					nag_army_abilities_blyramid_bombardment_04	0.0000			wh_dlc03_spell_wild_viletide	wild_short	vo_battle_special_ability_spell_cast_negative	0.0000	81.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_blyramid_itself	-1.0000	-1.0000	1	0.0000	false	0	1	false	0.0000		false	true	true	-1.0000	false	false	0.0000	false	465884158			cast_up_short	0.0000	0.0000					nag_blyramid_itself	0.0000			wh_dlc03_spell_wild_viletide	wild_short	vo_battle_special_ability_spell_cast_negative	1.0000	1.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_army_abilities_blyramid_bombardment_targeting	1.0000	-1.0000	1	20.0000	false	1	0	false	1.0000		true	false	true	-1.0000	false	false	3.0000	false	465884159		nag_bombardment_targeting	cast_up_medium	0.0000	0.0000	wh_spell_generic_bombardment	wh_spell_generic_bombardment	wh_spell_generic_bombardment			0.0000		aoe_bombardment	wh_main_spell_vampires_raise_dead	vampires_medium	vo_battle_special_ability_raise_dead	1.0000	1.0000			wh_main_targeting_pre_spawn_group_ui_central	false	false	true	true				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
nag_endless_tomb_skeleton_unbinding	200.0000	-1.0000	-1	0.0000	true	0	0	false	-1.0000		false	false	false	0.0000	false	false	0.0000	true	365884171				0.0000	0.0000						0.0000					vo_battle_special_ability_generic_response	1.0000	1.0000				false	false	true	false				false	false	false	false	false			false	false	true	-1.0000	false	default	1	false	0.0000		true			
